"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"6621","Município","Belford Roxo","3300456","RJ","null","Arquivado","17944.000396/2010-18","2010-07-15T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2009 A","Instituição Financeira Nacional","Caixa Econômica Federal","Real","16992997.17","0","0","15/07/2010","","","","","",""
"6628","Município","Belford Roxo","3300456","RJ","null","Regularizado","17944.000397/2010-62","2014-10-20T02:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Light - Serviços de Eletricidade S/A","Real","5576878.3","0","0","30/10/2014","","","","","",""
"10745","Município","Angra dos Reis","3300100","RJ","null","Deferido","17944.001273/2008-80","2009-07-24T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008 B","Instituição Financeira Nacional","Caixa Econômica Federal","Real","20177032","0","0","29/07/2009","","","","","",""
"11415","Município","Niterói","3303302","RJ","null","Deferido","17944.001438/2008-13","2008-09-15T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008 B","Instituição Financeira Nacional","Caixa Econômica Federal","Real","9700000","0","0","23/09/2008","","","","","",""
"42331","Município","Tanguá","3305752","RJ","PVL02.008522/2019-58","Encaminhado à PGFN com manifestação técnica favorável","17944.101686/2020-50","2020-07-02T20:49:45Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","15850000","1","1","15/07/2020","","","","","",""
"13589","Município","Rio de Janeiro","3304557","RJ","null","Arquivado","19405.000031/2006-30","2006-07-18T03:00:00Z","Operação contratual interna","Saneamento básico","Instituição Financeira Nacional","Caixa Econômica Federal","Real","468185.98","0","0","26/06/2007","","","","","",""
"10226","Município","Conceição de Macabu","3301405","RJ","null","Arquivado","17944.001149/2008-14","2008-08-14T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","400700","0","0","30/10/2008","","","","","",""
"10281","Município","Rio de Janeiro","3304557","RJ","null","Deferido","17944.001161/2008-29","2008-06-13T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008 B","Instituição Financeira Nacional","Caixa Econômica Federal","Real","56947800","1","0","30/06/2008","","","","","",""
"31424","Município","São Gonçalo","3304904","RJ","PVL02.000027/2019-09","Arquivado por decurso de prazo","17944.101336/2019-50","2019-04-11T20:25:32Z","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","19689683.54","0","0","23/10/2019","","","","","",""
"6153","Município","Cardoso Moreira","3301157","RJ","null","Arquivado","17944.000288/2008-21","2008-05-14T03:00:00Z","Operação contratual interna","Caminho da Escola","Instituição Financeira Nacional","Banco do Brasil S/A","Real","402855","0","0","15/05/2008","","","","","",""
"5180","Município","Nova Iguaçu","3303500","RJ","null","Deferido","17944.000053/2007-58","2007-07-27T03:00:00Z","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","11306667","1","0","02/08/2007","","","","","",""
"29422","Município","Rio de Janeiro","3304557","RJ","PVL02.001092/2018-62","Arquivado por decurso de prazo","17944.106872/2018-61","2018-09-04T14:18:40Z","Operação contratual interna","Renegociação de dívidas","Instituição Financeira Nacional","Caixa Econômica Federal","Real","155030131.45","0","0","22/10/2019","","","","","",""
"11343","Município","Duque de Caxias","3301702","RJ","null","Regularizado","17944.001416/2006-91","2007-02-28T03:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Ampla Energia e Serviços S/A","Real","6220750","0","0","13/03/2007","","","","","",""
"29667","Município","Rio de Janeiro","3304557","RJ","PVL02.001468/2018-39","Deferido","17944.107905/2018-90","2018-09-05T16:18:30Z","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","49000000","1","1","13/09/2018","","","","","",""
"13080","Município","Três Rios","3306008","RJ","null","Deferido","17944.001905/2014-53","2014-12-18T02:00:00Z","Operação contratual interna","Caminho da Escola","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","1868700","0","0","07/01/2015","","","","","",""
"10095","Município","Angra dos Reis","3300100","RJ","null","Arquivado","17944.001119/2008-16","2009-03-09T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","570000","0","0","12/03/2009","","","","","",""
"60354","Município","Paraty","3303807","RJ","PVL02.006783/2022-39","Deferido (PVL-IF)","null","null","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","4794056.75","0","0","28/07/2022","","","","","",""
"42829","Município","Duque de Caxias","3301702","RJ","PVL02.009315/2019-11","Deferido","17944.102739/2020-50","2020-07-10T21:50:02Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","150000000","0","0","15/07/2020","","","","","",""
